,Total,Total Owned Units with a Mortgage,Total Owned Units with a Mortgage (30-49%),Total Owned Units with a Mortgage (50%+),Total Owned Units with a Mortgage (Not Calculated),Total Owned Units without a Mortgage,Total Owned Units without a Mortgage (30-49%),Total Owned Units without a Mortgage (50%+),Total Owned Units without a Mortgage (Not Calculated),Total Rented,Total Rented (30-49%),Total Rented (50%+),Total Rented (Not Calculated)
    Estimate,"2,299",196,66,10,0,127,17,0,0,"1,976",650,268,50
    Margin of Error,±210,±87,±64,±16,±12,±101,±28,±12,±12,±221,±230,±178,±42
Census Tract 8041.09; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,173",559,78,46,0,460,45,16,0,154,75,28,0
    Margin of Error,±181,±193,±52,±41,±12,±96,±28,±17,±12,±64,±49,±23,±12
Census Tract 8042.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,758","1,511",503,70,0,829,162,38,0,418,37,0,30
    Margin of Error,±233,±248,±212,±44,±17,±194,±96,±36,±17,±179,±39,±17,±34
Census Tract 8042.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,097",715,295,208,0,378,42,42,0,4,0,0,0
    Margin of Error,±123,±117,±113,±115,±12,±121,±51,±51,±12,±13,±12,±12,±12
Census Tract 8042.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,836",898,278,163,0,672,65,22,0,266,151,108,9
    Margin of Error,±203,±173,±144,±135,±17,±225,±50,±25,±17,±131,±118,±108,±16
Census Tract 8043.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,706","1,803",476,133,245,652,66,31,0,251,119,25,0
    Margin of Error,±432,±429,±168,±81,±376,±212,±51,±36,±17,±128,±82,±40,±17
Census Tract 8043.06; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,831","1,079",301,107,0,615,6,0,6,137,34,34,8
    Margin of Error,±283,±181,±123,±70,±17,±298,±10,±17,±9,±70,±32,±32,±14
Census Tract 8043.08; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,952",932,172,36,0,488,114,37,0,532,209,190,57
    Margin of Error,±230,±213,±99,±56,±12,±147,±96,±37,±12,±181,±144,±139,±70
Census Tract 8043.09; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,965,619,226,33,0,199,31,25,0,147,85,55,0
    Margin of Error,±130,±129,±121,±30,±12,±60,±25,±23,±12,±68,±57,±47,±12
Census Tract 8043.12; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,578,407,67,36,0,133,6,3,0,38,2,2,36
    Margin of Error,±103,±102,±43,±31,±12,±58,±10,±7,±12,±35,±4,±4,±34
Census Tract 8043.13; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,160","1,348",311,76,0,403,23,23,0,409,122,103,15
    Margin of Error,±232,±186,±177,±70,±17,±144,±30,±30,±17,±241,±94,±87,±25
Census Tract 8043.14; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,602,426,89,46,0,131,25,25,0,45,4,0,18
    Margin of Error,±71,±88,±56,±36,±12,±44,±25,±25,±12,±31,±7,±12,±22
Census Tract 8043.15; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,877,579,86,43,0,264,3,0,0,34,12,0,0
    Margin of Error,±94,±70,±49,±32,±12,±113,±6,±12,±12,±29,±17,±12,±12
Census Tract 8043.16; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,599",972,248,43,48,542,99,99,0,85,46,37,13
    Margin of Error,±204,±159,±99,±42,±70,±191,±140,±140,±12,±63,±54,±53,±21
Census Tract 8044.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,746","1,109",256,151,0,689,85,24,0,948,354,234,34
    Margin of Error,±403,±275,±108,±96,±17,±153,±64,±29,±17,±380,±137,±126,±34
Census Tract 8044.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,671","1,021",336,160,0,355,19,5,0,295,201,41,6
    Margin of Error,±309,±310,±130,±79,±17,±112,±17,±7,±17,±107,±76,±49,±9
Census Tract 8044.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,090",240,66,47,0,144,62,62,0,706,179,85,62
    Margin of Error,±143,±106,±51,±43,±12,±74,±67,±67,±12,±123,±94,±61,±62
Census Tract 8044.06; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,837",903,284,112,0,738,227,131,0,196,69,62,0
    Margin of Error,±191,±177,±108,±78,±17,±192,±88,±71,±17,±97,±53,±50,±17
Census Tract 8045.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,540",836,184,68,0,230,49,39,0,474,81,16,31
    Margin of Error,±149,±132,±92,±55,±12,±93,±52,±49,±12,±133,±50,±22,±48
Census Tract 8045.06; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,023","1,182",224,100,55,461,90,49,8,380,262,235,8
    Margin of Error,±261,±202,±81,±50,±59,±110,±61,±47,±12,±225,±213,±203,±13
Census Tract 8045.08; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,885,356,101,14,0,56,9,0,0,473,289,96,34
    Margin of Error,±143,±93,±50,±15,±12,±28,±13,±12,±12,±150,±162,±57,±38
Census Tract 8045.09; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,634",781,258,133,0,445,0,0,0,408,64,0,70
    Margin of Error,±148,±140,±111,±97,±17,±147,±17,±17,±17,±148,±64,±17,±113
Census Tract 8045.10; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,336",561,142,58,0,351,25,25,0,424,177,53,62
    Margin of Error,±203,±123,±78,±52,±12,±137,±25,±25,±12,±129,±121,±57,±65
Census Tract 8045.11; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,714,177,38,21,10,131,35,17,0,406,129,93,32
    Margin of Error,±121,±62,±30,±23,±15,±44,±26,±17,±12,±91,±71,±64,±28
Census Tract 8045.12; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,306",907,145,108,0,309,34,0,8,90,13,0,0
    Margin of Error,±145,±194,±85,±81,±12,±136,±35,±12,±13,±73,±19,±12,±12
Census Tract 8045.13; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,481",966,272,42,0,403,65,54,0,112,30,0,0
    Margin of Error,±187,±196,±163,±59,±12,±147,±72,±69,±12,±82,±34,±12,±12
Census Tract 8045.14; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,714",886,104,58,0,486,31,10,13,342,205,111,18
    Margin of Error,±176,±220,±70,±55,±17,±173,±33,±17,±22,±148,±142,±111,±23
Census Tract 8046.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,911",454,183,119,0,426,209,177,0,"2,031",481,173,0
    Margin of Error,±397,±159,±107,±105,±17,±242,±236,±234,±17,±318,±197,±82,±17
Census Tract 8046.06; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,409","1,471",313,135,0,722,155,70,0,216,66,29,21
    Margin of Error,±181,±208,±117,±88,±17,±185,±95,±61,±17,±111,±47,±34,±34
Census Tract 8046.07; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,435","1,253",228,124,0,615,71,17,15,567,58,42,11
    Margin of Error,±245,±209,±108,±102,±17,±194,±50,±23,±25,±185,±50,±41,±16
Census Tract 8046.08; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,604",769,203,28,0,374,50,43,29,461,126,86,39
    Margin of Error,±189,±206,±92,±23,±12,±78,±33,±32,±44,±154,±68,±61,±55
Census Tract 8046.09; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,455",977,193,125,0,599,179,85,0,879,415,161,21
    Margin of Error,±266,±252,±105,±96,±17,±138,±102,±83,±17,±206,±172,±132,±32
Census Tract 8046.10; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,251",515,215,84,0,414,32,32,0,322,137,43,21
    Margin of Error,±170,±101,±89,±50,±12,±149,±31,±31,±12,±133,±71,±34,±25
Census Tract 8046.11; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,893",833,274,65,16,595,55,10,8,465,220,44,0
    Margin of Error,±178,±131,±104,±66,±25,±152,±43,±17,±12,±136,±87,±34,±12
Census Tract 8047.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,405",800,244,108,0,534,67,50,0,"1,071",463,236,65
    Margin of Error,±277,±209,±131,±66,±17,±202,±68,±63,±17,±286,±172,±132,±81
Census Tract 8047.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,730",896,262,106,9,331,30,13,0,503,190,90,0
    Margin of Error,±212,±187,±109,±59,±13,±96,±23,±15,±12,±147,±58,±66,±12
Census Tract 8047.06; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,721,441,106,27,0,240,21,12,0,40,28,5,0
    Margin of Error,±44,±63,±43,±20,±12,±58,±21,±13,±12,±28,±25,±9,±12
Census Tract 8047.09; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,027","1,093",147,0,0,522,98,51,17,"1,412",536,323,29
    Margin of Error,±465,±253,±109,±17,±17,±153,±64,±44,±20,±480,±177,±140,±33
Census Tract 8047.10; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,512",886,205,74,0,396,55,21,0,230,88,47,0
    Margin of Error,±148,±145,±85,±65,±12,±127,±39,±23,±12,±89,±64,±47,±12
Census Tract 8047.11; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,782","1,083",236,149,0,569,130,43,14,"1,130",382,182,0
    Margin of Error,±250,±220,±104,±90,±17,±182,±114,±47,±23,±209,±162,±121,±17
Census Tract 8047.12; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,888",953,282,78,9,319,33,9,0,616,255,96,61
    Margin of Error,±204,±157,±104,±61,±15,±74,±25,±13,±17,±208,±90,±58,±70
Census Tract 8047.13; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,254",390,82,13,0,345,48,48,0,"1,519",656,186,22
    Margin of Error,±326,±133,±61,±22,±12,±126,±55,±55,±12,±342,±347,±132,±34
Census Tract 8047.14; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,375",924,164,20,0,177,4,0,0,274,60,34,22
    Margin of Error,±229,±228,±61,±18,±12,±59,±7,±12,±12,±130,±34,±27,±36
Census Tract 8047.15; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,232",464,187,97,0,267,43,14,6,501,231,133,41
    Margin of Error,±190,±143,±143,±122,±12,±84,±46,±23,±13,±147,±115,±97,±59
Census Tract 8047.16; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,561",884,224,87,0,438,120,71,0,239,76,26,9
    Margin of Error,±120,±134,±98,±64,±12,±113,±61,±55,±12,±103,±53,±26,±15
Census Tract 8048.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,905","1,016",260,160,34,287,27,27,0,602,232,177,69
    Margin of Error,±214,±143,±87,±83,±46,±117,±33,±33,±17,±193,±102,±105,±72
Census Tract 8048.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,499","1,159",457,345,0,489,38,20,72,851,274,108,130
    Margin of Error,±341,±324,±276,±270,±17,±164,±46,±35,±95,±235,±108,±106,±151
Census Tract 8048.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,437","1,358",253,159,0,693,49,49,0,386,160,71,23
    Margin of Error,±248,±261,±121,±110,±17,±212,±43,±43,±17,±163,±99,±71,±32
Census Tract 8048.06; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,997,570,210,82,0,249,41,25,0,178,77,33,0
    Margin of Error,±125,±120,±79,±53,±12,±79,±42,±38,±12,±64,±49,±34,±12
Census Tract 8048.07; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,893",923,222,58,15,645,73,28,0,325,36,14,0
    Margin of Error,±216,±152,±84,±50,±17,±145,±40,±23,±17,±178,±30,±18,±17
Census Tract 8048.08; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,952,628,125,100,0,280,29,29,0,44,0,0,0
    Margin of Error,±134,±142,±52,±49,±12,±55,±18,±18,±12,±36,±12,±12,±12
Census Tract 8048.09; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,624",945,287,148,0,533,53,18,0,146,42,7,8
    Margin of Error,±166,±169,±80,±71,±12,±134,±36,±20,±12,±78,±40,±11,±14
Census Tract 8048.10; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,743","1,333",195,60,19,521,92,75,0,889,622,182,21
    Margin of Error,±381,±284,±105,±56,±31,±160,±72,±67,±17,±300,±272,±187,±33
Census Tract 8049.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,560","1,395",427,115,51,766,120,91,0,399,70,17,29
    Margin of Error,±183,±206,±184,±123,±75,±168,±106,±101,±17,±132,±56,±27,±33
Census Tract 8049.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,287","1,109",271,136,0,"1,049",82,13,13,129,30,30,0
    Margin of Error,±329,±213,±166,±136,±17,±298,±84,±22,±23,±67,±37,±37,±17
Census Tract 8050.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,880","1,030",240,87,0,749,177,22,15,101,28,22,0
    Margin of Error,±204,±170,±81,±48,±12,±175,±104,±21,±22,±60,±23,±21,±12
Census Tract 8050.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,015",746,221,24,8,682,98,46,0,"1,587",664,300,41
    Margin of Error,±248,±219,±151,±39,±15,±218,±89,±73,±17,±263,±211,±176,±39
Census Tract 8051.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,766",988,333,85,0,622,236,52,0,"1,156",258,208,0
    Margin of Error,±206,±284,±151,±75,±17,±235,±128,±60,±17,±210,±119,±107,±17
Census Tract 8051.06; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,310",696,138,86,0,423,41,17,10,191,34,10,65
    Margin of Error,±286,±162,±71,±61,±12,±190,±27,±19,±16,±126,±34,±16,±48
Census Tract 8051.07; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,082",373,68,44,0,243,10,10,0,"2,466",817,492,212
    Margin of Error,±323,±165,±49,±43,±17,±94,±18,±18,±17,±327,±246,±205,±163
Census Tract 8051.08; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,625",648,152,112,0,354,28,28,0,"1,623",824,234,28
    Margin of Error,±295,±191,±120,±116,±17,±149,±36,±36,±17,±315,±242,±119,±31
Census Tract 8051.09; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,744",843,399,81,0,665,135,35,0,236,72,10,65
    Margin of Error,±244,±227,±225,±53,±12,±165,±59,±28,±12,±93,±58,±16,±72
Census Tract 8051.10; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,945",763,320,134,0,537,76,20,0,645,275,244,35
    Margin of Error,±299,±191,±172,±86,±12,±148,±64,±39,±12,±213,±155,±146,±40
Census Tract 8051.11; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,149",547,151,51,0,477,116,44,0,"2,125","1,028",538,24
    Margin of Error,±321,±178,±117,±83,±17,±190,±118,±70,±17,±337,±356,±289,±28
Census Tract 8051.12; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,191",609,175,84,0,355,39,7,0,227,72,52,53
    Margin of Error,±129,±112,±86,±49,±12,±96,±38,±12,±12,±85,±46,±39,±59
Census Tract 8052.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,245",646,185,91,0,490,127,67,0,109,93,75,0
    Margin of Error,±184,±123,±91,±78,±12,±95,±69,±46,±12,±122,±122,±120,±12
Census Tract 8052.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,616",633,146,61,0,384,40,24,0,599,276,158,53
    Margin of Error,±225,±112,±74,±42,±12,±161,±30,±21,±12,±219,±112,±88,±53
Census Tract 8053.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,098",494,164,76,0,388,40,31,0,216,127,87,39
    Margin of Error,±114,±141,±86,±60,±12,±99,±32,±28,±12,±78,±77,±76,±44
Census Tract 8053.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,374",777,319,100,0,552,161,38,0,45,23,9,17
    Margin of Error,±123,±142,±120,±55,±12,±151,±128,±29,±12,±34,±27,±15,±19
Census Tract 8054.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,584",743,163,103,0,540,127,17,0,301,53,47,41
    Margin of Error,±236,±257,±126,±118,±12,±110,±68,±29,±12,±108,±40,±39,±33
Census Tract 8054.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,706",990,286,49,0,601,11,11,0,115,8,8,0
    Margin of Error,±176,±181,±148,±46,±12,±185,±19,±19,±12,±89,±12,±12,±12
Census Tract 8055.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,566",538,204,98,0,501,48,11,0,527,200,147,110
    Margin of Error,±173,±127,±91,±62,±12,±120,±36,±17,±12,±117,±79,±78,±90
Census Tract 8055.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,749","1,072",410,242,21,498,108,51,9,179,106,18,0
    Margin of Error,±229,±233,±221,±204,±31,±107,±62,±42,±15,±73,±65,±22,±12
Census Tract 8056; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,643",935,148,66,0,649,203,153,0,59,29,15,0
    Margin of Error,±157,±141,±61,±39,±12,±170,±145,±142,±12,±51,±23,±18,±12
Census Tract 8057.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,041","1,262",191,79,4,594,155,53,0,185,28,18,0
    Margin of Error,±191,±191,±72,±52,±7,±151,±89,±45,±17,±133,±32,±27,±17
Census Tract 8057.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,763,413,61,36,0,274,33,2,4,76,26,6,11
    Margin of Error,±92,±90,±29,±21,±12,±72,±21,±3,±5,±37,±33,±9,±11
Census Tract 8058.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,001",507,173,77,0,466,183,90,0,28,28,9,0
    Margin of Error,±122,±81,±80,±54,±12,±114,±77,±78,±12,±28,±28,±15,±12
Census Tract 8058.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,900","1,164",189,116,0,471,69,50,21,265,59,32,31
    Margin of Error,±187,±174,±78,±75,±17,±97,±45,±33,±22,±127,±34,±27,±38
Census Tract 8059.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,996",572,128,79,0,811,151,106,31,613,138,24,162
    Margin of Error,±300,±135,±83,±65,±12,±164,±103,±101,±29,±290,±65,±28,±243
Census Tract 8059.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,194",980,205,25,0,824,45,21,0,390,248,82,14
    Margin of Error,±252,±148,±131,±29,±17,±266,±45,±24,±17,±161,±124,±79,±23
Census Tract 8060.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,546",675,212,79,0,483,94,59,16,"1,388",562,350,207
    Margin of Error,±367,±278,±132,±81,±17,±141,±71,±58,±26,±350,±210,±180,±273
Census Tract 8060.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,516",970,340,165,0,809,105,54,12,737,347,203,103
    Margin of Error,±265,±292,±153,±122,±17,±201,±84,±66,±18,±186,±149,±125,±116
Census Tract 8060.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,112",887,258,158,0,751,57,16,0,"1,474",752,338,136
    Margin of Error,±488,±239,±150,±131,±17,±406,±55,±27,±17,±327,±264,±128,±126
Census Tract 8060.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,986,148,49,24,0,425,0,0,0,413,83,12,11
    Margin of Error,±379,±88,±35,±25,±12,±391,±12,±12,±12,±102,±51,±21,±21
Census Tract 8060.06; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,706",459,197,117,0,737,106,106,0,510,255,237,0
    Margin of Error,±256,±114,±92,±64,±12,±265,±81,±81,±12,±146,±97,±100,±12
Census Tract 8061.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,636",797,160,64,0,407,131,118,16,432,137,40,20
    Margin of Error,±138,±129,±78,±43,±12,±108,±77,±77,±18,±133,±76,±39,±23
Census Tract 8061.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,948",982,226,75,0,799,142,71,8,167,42,10,8
    Margin of Error,±208,±157,±88,±46,±17,±188,±83,±52,±14,±68,±38,±15,±14
Census Tract 8061.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,830",177,62,23,0,346,123,34,0,"1,307",649,402,120
