GEO_ID,ZCTA%5,NAME,Total,B25140_001M,Total Owned Units with a Mortgage,B25140_002M,Total Owned Units with a Mortgage (30-49%),B25140_003M,Total Owned Units with a Mortgage (50%+),B25140_004M,Total Owned Units with a Mortgage (Not Calculated),B25140_005M,Total Owned Units without a Mortgage,B25140_006M,Total Owned Units without a Mortgage (30-49%),B25140_007M,Total Owned Units without a Mortgage (50%+),B25140_008M,Total Owned Units without a Mortgage (Not Calculated),B25140_009M,Total Rented,B25140_010M,Total Rented (30-49%),B25140_011M,Total Rented (50%+),B25140_012M,Total Rented (Not Calculated),B25140_013M
860Z200US60404,60404,ZCTA5 60404,7205,347,4422,328,1216,245,556,155,58,54,2353,360,264,108,48,38,20,22,430,173,208,96,169,95,56,44
860Z200US60406,60406,ZCTA5 60406,9164,591,2561,333,565,210,245,169,20,25,1931,368,440,160,206,101,35,49,4672,514,2053,438,979,348,292,180
860Z200US60407,60407,ZCTA5 60407,626,98,333,81,63,35,33,27,0,12,197,54,55,38,15,13,0,12,96,45,17,16,10,12,26,22
860Z200US60408,60408,ZCTA5 60408,2097,136,1116,194,204,72,106,60,0,17,565,139,45,33,9,15,0,17,416,123,188,83,87,57,62,55
860Z200US60409,60409,ZCTA5 60409,14678,737,4796,669,1771,406,795,261,120,104,3403,600,642,244,523,229,52,49,6479,651,3516,600,2176,522,362,197
860Z200US60410,60410,ZCTA5 60410,4514,253,3035,281,547,152,229,119,26,39,1031,203,87,56,9,14,9,14,448,185,112,94,103,93,19,21
860Z200US60411,60411,ZCTA5 60411,18444,683,6958,646,2427,445,1178,320,81,57,5085,524,885,264,500,190,42,40,6401,563,3573,470,2194,462,539,257
860Z200US60415,60415,ZCTA5 60415,5309,423,1651,391,353,142,129,71,0,19,1267,292,179,135,98,126,45,43,2391,421,833,274,305,148,84,88
860Z200US60416,60416,ZCTA5 60416,3693,259,1611,193,453,118,169,83,0,17,1292,192,117,91,25,30,0,17,790,197,277,106,116,70,10,13
860Z200US60417,60417,ZCTA5 60417,5936,329,3370,372,1288,330,373,154,0,19,1938,264,276,98,110,54,10,16,628,130,283,101,166,106,155,81
860Z200US60418,60418,ZCTA5 60418,5016,317,2213,370,682,224,396,187,0,19,1660,361,248,146,111,86,9,15,1143,305,399,159,300,156,278,183
860Z200US60419,60419,ZCTA5 60419,7919,455,3649,437,1564,339,682,206,50,56,2051,394,471,237,235,210,38,51,2219,370,1445,304,797,237,72,76
860Z200US60420,60420,ZCTA5 60420,1841,183,637,124,151,69,44,33,0,12,660,123,136,76,66,58,0,12,544,147,167,78,122,75,67,45
860Z200US60421,60421,ZCTA5 60421,1548,94,844,118,182,66,29,24,0,12,501,108,32,27,18,25,0,12,203,85,27,27,21,24,46,36
860Z200US60422,60422,ZCTA5 60422,3708,330,2535,330,864,369,65,49,0,17,1023,268,247,116,145,83,0,17,150,99,20,31,20,31,11,24
860Z200US60423,60423,ZCTA5 60423,10997,407,6831,514,1904,335,523,193,0,26,3462,408,674,172,232,113,42,46,704,269,211,105,124,96,184,137
860Z200US60424,60424,ZCTA5 60424,800,80,283,49,74,33,37,24,0,12,320,55,33,21,12,8,0,12,197,53,78,37,39,22,7,7
860Z200US60425,60425,ZCTA5 60425,3088,331,1573,301,531,207,306,172,26,42,843,194,194,115,137,100,13,20,672,184,340,134,208,106,84,85
860Z200US60426,60426,ZCTA5 60426,8299,536,2285,429,1057,277,604,243,0,23,2432,288,371,138,188,96,48,56,3582,489,1809,411,1108,292,449,215
860Z200US60428,60428,ZCTA5 60428,3655,315,1388,298,550,207,362,170,0,19,1291,275,235,107,66,52,42,61,976,243,799,241,423,218,27,29
860Z200US60429,60429,ZCTA5 60429,5116,340,2447,435,1009,315,517,210,35,41,1098,368,135,67,54,47,304,413,1571,402,678,237,350,156,45,38
860Z200US60430,60430,ZCTA5 60430,7302,427,3466,314,730,178,357,163,10,17,2346,340,330,142,170,99,67,54,1490,259,707,207,295,161,192,135
860Z200US60431,60431,ZCTA5 60431,8942,560,6198,490,1193,296,423,167,113,154,1948,314,172,77,101,63,16,19,796,269,331,167,82,63,45,54
860Z200US60432,60432,ZCTA5 60432,6447,382,2301,349,655,147,345,121,0,23,1383,258,131,64,41,27,0,23,2763,304,1402,298,750,221,122,72
860Z200US60433,60433,ZCTA5 60433,5252,388,1816,225,718,183,277,101,0,19,1557,277,175,69,66,38,33,39,1879,278,878,188,401,124,203,128
860Z200US60435,60435,ZCTA5 60435,18945,698,8275,702,2021,361,719,211,19,31,4339,391,491,124,225,89,94,64,6331,551,2785,391,1430,292,484,168
860Z200US60436,60436,ZCTA5 60436,6565,452,2656,308,672,161,298,95,12,17,1101,192,271,88,116,65,0,19,2808,438,1337,266,603,160,220,180
860Z200US60437,60437,ZCTA5 60437,41,16,25,14,4,4,0,12,0,12,14,8,1,2,0,12,1,4,2,3,0,12,0,12,0,12
860Z200US60438,60438,ZCTA5 60438,11303,520,5478,614,1758,506,797,232,0,23,2455,444,418,242,240,133,101,80,3370,502,1440,341,883,281,318,208
860Z200US60439,60439,ZCTA5 60439,8697,441,4184,415,960,247,323,129,13,21,3511,392,541,160,209,99,61,43,1002,222,385,181,136,89,155,118
860Z200US60440,60440,ZCTA5 60440,17404,575,9044,539,2769,366,941,199,42,45,4019,426,488,158,261,122,33,27,4341,455,2083,359,1050,294,204,101
860Z200US60441,60441,ZCTA5 60441,12580,455,7360,404,1840,303,689,159,20,19,3070,407,372,127,223,81,73,71,2150,335,866,242,397,137,127,64
860Z200US60442,60442,ZCTA5 60442,4521,329,2943,372,510,128,148,54,0,19,1155,227,84,58,45,42,4,6,423,223,238,141,177,132,30,26
860Z200US60443,60443,ZCTA5 60443,8323,626,4309,471,1468,347,468,171,1,11,2148,348,428,130,230,100,42,42,1866,516,503,199,333,175,494,290
860Z200US60444,60444,ZCTA5 60444,713,96,432,84,79,42,33,35,3,4,162,37,7,6,3,4,8,14,119,50,53,27,11,11,17,19
860Z200US60445,60445,ZCTA5 60445,6017,341,2919,356,782,222,450,191,0,19,1767,369,393,306,265,291,30,45,1331,319,1084,314,627,274,15,25
860Z200US60446,60446,ZCTA5 60446,13388,463,8296,464,2030,347,706,210,29,47,2755,385,256,107,92,52,9,15,2337,358,1295,306,628,257,118,77
860Z200US60447,60447,ZCTA5 60447,5403,365,3749,316,717,184,179,133,0,19,1154,304,114,102,84,99,0,19,500,196,314,172,219,144,0,19
860Z200US60448,60448,ZCTA5 60448,8905,397,5757,371,1438,314,589,203,0,23,2358,293,315,86,128,61,30,37,790,171,236,105,95,74,173,93
860Z200US60449,60449,ZCTA5 60449,3606,250,2302,332,730,307,158,98,0,17,1194,248,115,86,91,81,0,17,110,91,56,61,56,61,45,56
860Z200US60450,60450,ZCTA5 60450,8913,356,3716,362,823,242,509,217,0,23,2082,276,148,72,50,42,0,23,3115,359,1249,290,692,252,102,93
860Z200US60451,60451,ZCTA5 60451,12519,408,8200,430,1694,266,498,149,18,19,3420,301,421,139,228,109,54,52,899,179,347,124,149,95,131,88
860Z200US60452,60452,ZCTA5 60452,10182,476,5529,500,1442,334,582,194,6,10,2548,437,348,145,117,74,9,12,2105,347,815,286,289,176,248,161
860Z200US60453,60453,ZCTA5 60453,21745,717,10871,745,3176,609,1494,555,76,58,7069,579,1458,305,736,220,72,59,3805,550,1852,378,954,307,333,183
860Z200US60455,60455,ZCTA5 60455,6241,448,2111,327,780,234,314,161,0,19,1984,369,315,142,172,105,50,51,2146,380,1063,334,525,242,287,279
860Z200US60456,60456,ZCTA5 60456,1916,213,870,195,293,104,101,67,0,12,523,164,103,81,17,20,26,29,523,184,116,74,65,46,55,60
860Z200US60457,60457,ZCTA5 60457,5594,333,2300,257,658,174,328,151,39,36,1709,339,294,130,115,65,71,73,1585,343,637,209,300,116,104,70
860Z200US60458,60458,ZCTA5 60458,5311,387,1396,274,462,152,264,124,32,51,1381,277,452,147,297,126,33,38,2534,314,1114,300,690,264,105,79
860Z200US60459,60459,ZCTA5 60459,9674,429,4608,389,1549,322,574,165,7,11,3153,398,649,188,382,156,20,22,1913,277,790,201,447,149,177,100
860Z200US60460,60460,ZCTA5 60460,534,70,203,50,68,37,38,29,0,12,237,51,35,23,28,23,0,12,94,42,22,16,8,11,26,25
860Z200US60461,60461,ZCTA5 60461,1835,241,1256,197,465,164,292,146,9,14,324,155,130,121,96,114,0,12,255,127,244,126,129,72,0,12
860Z200US60462,60462,ZCTA5 60462,16446,727,7583,514,2166,352,1033,262,0,26,6199,744,1360,469,631,323,22,25,2664,477,1308,459,456,161,146,79
